,mBERT,Chinese-BERT,MacBERT,XLM-R-base,XLM-R-large,ERNIE-3.0,UER-tiny,UER-small
一,True,True,True,True,True,True,True,True
丁,True,True,True,False,False,True,True,True
丂,False,False,False,False,False,True,False,False
七,True,True,True,False,False,True,True,True
丄,False,False,False,False,False,True,False,False
丅,False,False,False,False,False,True,False,False
丆,False,False,False,False,False,True,False,False
万,True,True,True,False,False,True,True,True
丈,True,True,True,False,False,True,True,True
三,True,True,True,True,True,True,True,True
上,True,True,True,False,False,True,True,True
下,True,True,True,False,False,True,True,True
丌,False,False,False,False,False,True,False,False
不,True,True,True,False,False,True,True,True
与,True,True,True,False,False,True,True,True
丏,False,False,False,False,False,True,False,False
丐,True,True,True,False,False,True,True,True
丑,True,True,True,False,False,True,True,True
丒,False,False,False,False,False,True,False,False
专,True,True,True,False,False,True,True,True
且,True,True,True,False,False,True,True,True
丕,True,True,True,False,False,True,True,True
世,True,True,True,False,False,True,True,True
丗,False,False,False,False,False,True,False,False
丘,True,True,True,False,False,True,True,True
丙,True,True,True,False,False,True,True,True
业,True,True,True,False,False,True,True,True
丛,True,True,True,False,False,True,True,True
东,True,True,True,False,False,True,True,True
丝,True,True,True,False,False,True,True,True
丞,True,True,True,False,False,True,True,True
丟,True,True,True,False,False,True,True,True
丠,False,False,False,False,False,True,False,False
両,True,True,True,False,False,True,True,True
丢,True,True,True,False,False,True,True,True
丣,False,False,False,False,False,True,False,False
两,True,True,True,False,False,True,True,True
严,True,True,True,False,False,True,True,True
並,True,True,True,False,False,True,True,True
丧,True,True,True,False,False,True,True,True
丨,False,True,True,False,False,True,True,True
丩,False,False,False,False,False,True,False,False
个,True,True,True,False,False,True,True,True
丫,True,True,True,False,False,True,True,True
丬,False,False,False,False,False,True,False,False
中,True,True,True,False,False,True,True,True
丮,False,False,False,False,False,True,False,False
丯,False,False,False,False,False,True,False,False
丰,True,True,True,False,False,True,True,True
丱,False,False,False,False,False,True,False,False
串,True,True,True,False,False,True,True,True
丳,False,False,False,False,False,True,False,False
临,True,True,True,False,False,True,True,True
丵,False,False,False,False,False,True,False,False
丶,False,True,True,False,False,True,True,True
丷,False,False,False,False,False,True,False,False
丸,True,True,True,False,False,True,True,True
丹,True,True,True,False,False,True,True,True
为,True,True,True,False,False,True,True,True
主,True,True,True,False,False,True,True,True
丼,True,True,True,False,False,True,True,True
丽,True,True,True,False,False,True,True,True
举,True,True,True,False,False,True,True,True
丿,False,True,True,False,False,True,True,True
乀,False,False,False,False,False,True,False,False
乁,False,False,False,False,False,True,False,False
乂,True,True,True,False,False,True,True,True
乃,True,True,True,False,False,True,True,True
乄,False,False,False,False,False,True,False,False
久,True,True,True,False,False,True,True,True
乆,False,False,False,False,False,True,False,False
乇,False,False,False,False,False,True,False,False
么,True,True,True,False,False,True,True,True
义,True,True,True,False,False,True,True,True
乊,False,False,False,False,False,True,False,False
之,True,True,True,False,False,True,True,True
乌,True,True,True,False,False,True,True,True
乍,True,True,True,False,False,True,True,True
乎,True,True,True,False,False,True,True,True
乏,True,True,True,False,False,True,True,True
乐,True,True,True,False,False,True,True,True
乑,False,False,False,False,False,True,False,False
乒,True,True,True,False,False,True,True,True
乓,True,True,True,False,False,True,True,True
乔,True,True,True,False,False,True,True,True
乕,False,False,False,False,False,True,False,False
乖,True,True,True,False,False,True,True,True
乗,True,True,True,False,False,True,True,True
乘,True,True,True,False,False,True,True,True
乙,True,True,True,False,False,True,True,True
乚,False,False,False,False,False,True,False,False
乛,False,False,False,False,False,True,False,False
乜,False,True,True,False,False,True,True,True
九,True,True,True,False,False,True,True,True
乞,True,True,True,False,False,True,True,True
也,True,True,True,False,False,True,True,True
习,True,True,True,False,False,True,True,True
乡,True,True,True,False,False,True,True,True
乢,False,False,False,False,False,True,False,False
乣,False,False,False,False,False,True,False,False
乤,False,False,False,False,False,True,False,False
乥,False,False,False,False,False,True,False,False
书,True,True,True,False,False,True,True,True
乧,False,False,False,False,False,True,False,False
乨,False,False,False,False,False,True,False,False
乩,True,True,True,False,False,True,True,True
乪,False,False,False,False,False,True,False,False
乫,False,False,False,False,False,True,False,False
乬,False,False,False,False,False,True,False,False
乭,False,False,False,False,False,True,False,False
乮,False,False,False,False,False,True,False,False
乯,False,False,False,False,False,True,False,False
买,True,True,True,False,False,True,True,True
乱,True,True,True,False,False,True,True,True
乲,False,False,False,False,False,True,False,False
乳,True,True,True,False,False,True,True,True
乴,False,False,False,False,False,True,False,False
乵,False,False,False,False,False,True,False,False
乶,False,False,False,False,False,True,False,False
乷,False,False,False,False,False,True,False,False
乸,False,False,False,False,False,True,False,False
乹,False,False,False,False,False,True,False,False
乺,False,False,False,False,False,True,False,False
