model,field,dominant_radical,n_same_radical,n_diff_radical,intra_mean,cross_mean,delta,cohens_d,p_welch,p_perm,n_intra_pairs,n_cross_pairs,p_perm_holm
xlm-roberta-base,water,85,23,6,0.054050296545028687,0.03670141100883484,0.017348885536193848,0.1258822445774607,0.2230935695057393,0.10717856428714258,253,138,1.0
xlm-roberta-base,metal,167,20,7,0.09212704002857208,0.04265915974974632,0.04946788027882576,0.43073056963279194,0.00012028599497408121,0.0001999600079984003,190,140,0.003999200159968006
xlm-roberta-base,wood_plant,75,18,5,0.06919542700052261,0.09009116142988205,-0.020895734429359436,-0.1419293547381338,0.25292669530508466,0.8540291941611677,153,90,1.0
xlm-roberta-base,earth,32,18,4,0.04684623330831528,0.04454468563199043,0.0023015476763248444,0.0207897384013091,0.887400146161803,0.4385122975404919,153,72,1.0
xlm-roberta-base,stone,112,15,6,0.055878397077322006,0.0358474999666214,0.020030897110700607,0.1642951879956923,0.24802450883672128,0.13197360527894422,105,90,1.0
xlm-roberta-base,mountain,46,13,5,0.09195708483457565,0.03832308202981949,0.053634002804756165,0.39207886350350246,0.020446691018295927,0.011597680463907219,78,65,0.1855628874225155
xlm-roberta-base,grass_plant,140,17,5,0.08072429895401001,0.07551385462284088,0.005210444331169128,0.03729201260126367,0.7807973717409128,0.38912217556488704,136,85,1.0
xlm-roberta-base,sky_weather,173,7,5,0.09857159852981567,0.07528654485940933,0.02328505367040634,0.19199456023936687,0.5154201460394968,0.25934813037392523,21,35,1.0
xlm-roberta-base,bird,196,14,10,0.10173846781253815,0.047937843948602676,0.05380062386393547,0.37478249136304004,0.005895360597666145,0.0021995600879824036,91,140,0.03959208158368326
xlm-roberta-base,fish,195,13,4,0.18123936653137207,0.13961032032966614,0.04162904620170593,0.27686193170865275,0.09339592669673384,0.0617876424715057,78,52,0.8650269946010798
xlm-roberta-base,mammal_dom,94,7,8,0.21410274505615234,0.130752295255661,0.08335044980049133,0.6914898952963717,0.005272486999063602,0.0033993201359728054,21,56,0.057788442311537694
xlm-roberta-base,body_external,181,4,12,-0.012495110742747784,0.048795029520988464,-0.06129014119505882,-0.49730939981150446,0.19385633830779134,0.8830233953209358,6,48,1.0
xlm-roberta-base,limb,130,8,6,0.14619264006614685,0.10058494657278061,0.04560769349336624,0.33852641316542786,0.12464440410528113,0.08438312337532493,28,48,1.0
xlm-roberta-base,kinship,38,11,7,0.20473413169384003,0.07165414094924927,0.13307999074459076,1.1332414667391564,1.52759290416976e-08,0.0001999600079984003,55,77,0.003999200159968006
xlm-roberta-base,mental,61,12,4,0.06633055210113525,0.09006232023239136,-0.023731768131256104,-0.18733062873018544,0.33408129005644516,0.8348330333933214,66,48,1.0
xlm-roberta-base,speech,149,13,7,0.07180889695882797,0.05572948232293129,0.016079414635896683,0.16223940470438955,0.2977810150159927,0.14197160567886422,78,91,1.0
xlm-roberta-base,vision,109,14,4,0.06822659075260162,0.04599228501319885,0.02223430573940277,0.14758923054597564,0.33835373382707157,0.19356128774245152,91,56,1.0
xlm-roberta-base,tool,167,8,5,0.13780976831912994,0.08443760126829147,0.05337216705083847,0.4063511286866859,0.08844909883457797,0.05138972205558888,28,40,0.7708458308338332
xlm-roberta-base,building,32,4,12,0.046198099851608276,0.08815360069274902,-0.04195550084114075,-0.2797085855246344,0.1740845246094846,0.7266546690661868,6,48,1.0
xlm-roberta-base,food_grain,119,5,9,0.2551044821739197,0.19876545667648315,0.05633902549743652,0.3824598546796743,0.29744063973003954,0.14377124575084982,10,45,1.0
bert-base-multilingual-cased,water,85,23,6,0.0981542095541954,0.07780461013317108,0.020349599421024323,0.16861749173199397,0.07954453725278669,0.05078984203159368,253,138,0.41391721655668867
bert-base-multilingual-cased,metal,167,20,7,0.1194746121764183,0.05563725158572197,0.06383736431598663,0.38997807182793626,0.0003739579717871507,0.0003999200159968006,190,140,0.006798640271945611
bert-base-multilingual-cased,wood_plant,75,18,5,0.15185661613941193,0.1549011915922165,-0.0030445754528045654,-0.02223431698098063,0.8646362309418067,0.5682863427314537,153,90,1.0
bert-base-multilingual-cased,earth,32,18,4,0.13118717074394226,0.1100451648235321,0.021142005920410156,0.15456415604800738,0.279231795943096,0.14297140571885622,153,72,0.8146370725854829
bert-base-multilingual-cased,stone,112,15,6,0.06315945088863373,0.009346771985292435,0.05381267890334129,0.45600953458135624,0.0013634019235479076,0.0007998400319936012,105,90,0.011197760447910418
bert-base-multilingual-cased,mountain,46,13,5,0.12761066854000092,0.09502048045396805,0.03259018808603287,0.19094094981817508,0.26157499064051554,0.11637672465506899,78,65,0.8146370725854829
bert-base-multilingual-cased,grass_plant,140,17,5,0.08023937791585922,0.08950595557689667,-0.009266577661037445,-0.07062221840014084,0.613367097249597,0.6966606678664267,136,85,1.0
bert-base-multilingual-cased,sky_weather,173,7,5,0.21743813157081604,0.13574708998203278,0.08169104158878326,0.6511891664256281,0.013097171515732142,0.010397920415916816,21,35,0.10397920415916817
bert-base-multilingual-cased,bird,196,14,10,0.22134143114089966,0.1090814396739006,0.11225999146699905,0.6284118411476742,2.8350295012928055e-05,0.0001999600079984003,91,140,0.003999200159968006
bert-base-multilingual-cased,fish,195,13,4,0.24223759770393372,0.1726495325565338,0.0695880651473999,0.45727561059771776,0.006763327400634093,0.005198960207958408,78,52,0.0623875224955009
bert-base-multilingual-cased,mammal_dom,94,7,8,0.3238840699195862,0.20539090037345886,0.11849316954612732,0.625596760241196,0.0007322213948287008,0.004799040191961607,21,56,0.06238752249550089
bert-base-multilingual-cased,body_external,181,4,12,0.193830668926239,0.17726469039916992,0.016565978527069092,0.09346692177734955,0.6993767032932083,0.41191761647670466,6,48,1.0
