model,layer,pool,iso,intra_mean,inter_mean,delta,cohens_d,p_welch,p_perm,ci_lower,ci_upper,rsa_rho,rsa_p,n_intra,n_inter
Qwen/Qwen2.5-1.5B,0,char,0,0.11169993877410889,0.07650966942310333,0.035190269351005554,0.47613363180676116,6.986111545043737e-83,0.000999000999000999,0.031770984455943105,0.0387427831068635,0.08146327548215629,0.0,3400,3400
Qwen/Qwen2.5-1.5B,0,char,1,0.04244580119848251,0.0004745962214656174,0.04197120666503906,0.6547559013616656,6.332818020186151e-149,0.000999000999000999,0.03895634207874536,0.04496816555038095,0.11494466749290505,0.0,3400,3400
Qwen/Qwen2.5-1.5B,0,mean,0,0.11169914156198502,0.0765092745423317,0.03518986701965332,0.47613300699886535,6.99008685934008e-83,0.000999000999000999,0.03177025150507688,0.0387432012706995,0.07765234800830396,0.0,3400,3400
Qwen/Qwen2.5-1.5B,0,mean,1,0.04244445636868477,0.0004740917938761413,0.04197036474943161,0.6547524103441247,6.352192790781044e-149,0.000999000999000999,0.03895504651591182,0.044968122709542514,0.11578232360483946,0.0,3400,3400
Qwen/Qwen2.5-1.5B,7,char,0,0.9996797442436218,0.9995025396347046,0.00017720460891723633,0.015114453694962721,0.5332854174151729,0.13186813186813187,-0.000316503643989563,0.0008337512612342834,0.045137452301471745,0.0,3400,3400
Qwen/Qwen2.5-1.5B,7,char,1,0.07739739120006561,0.000761251023504883,0.07663614302873611,0.6471641884623662,8.62047243575755e-147,0.000999000999000999,0.07108272686600685,0.08220098242163658,0.1108650942688158,0.0,3400,3400
Qwen/Qwen2.5-1.5B,7,mean,0,0.9996798634529114,0.9995027184486389,0.00017714500427246094,0.015107237174322084,0.5334573023399525,0.13186813186813187,-0.0003167390823364258,0.0008336931467056274,0.03793756264127532,0.0,3400,3400
Qwen/Qwen2.5-1.5B,7,mean,1,0.07739920169115067,0.0007596100331284106,0.07663959264755249,0.6471813691247381,8.48403127473158e-147,0.000999000999000999,0.0710895761847496,0.08220560736954212,0.1092825238090327,0.0,3400,3400
Qwen/Qwen2.5-1.5B,14,char,0,0.9996729493141174,0.9994896054267883,0.00018334388732910156,0.015092340251870466,0.53375334358196,0.13186813186813187,-0.00032824426889419553,0.0008632585406303406,0.037982317848056966,0.0,3400,3400
Qwen/Qwen2.5-1.5B,14,char,1,0.07822474092245102,0.0007787254289723933,0.07744601368904114,0.6478154908581968,5.04006225629435e-147,0.000999000999000999,0.0718465842306614,0.08302534893155097,0.11283304764031284,0.0,3400,3400
Qwen/Qwen2.5-1.5B,14,mean,0,0.9996730089187622,0.9994896650314331,0.00018334388732910156,0.01509471623390603,0.5337457165163425,0.13186813186813187,-0.00032818466424942014,0.0008632004261016846,0.04273875026918885,0.0,3400,3400
Qwen/Qwen2.5-1.5B,14,mean,1,0.07822586596012115,0.0007787157665006816,0.07744715362787247,0.647809037650567,5.070814453411744e-147,0.000999000999000999,0.07184589579701424,0.08302465248852968,0.10770907476065429,0.0,3400,3400
Qwen/Qwen2.5-1.5B,21,char,0,0.9996213912963867,0.9993919730186462,0.00022941827774047852,0.01498318058057547,0.5367621686284152,0.13186813186813187,-0.0004150956869125366,0.0010865941643714906,0.0324439665097108,0.0,3400,3400
Qwen/Qwen2.5-1.5B,21,char,1,0.07712068408727646,0.0009174882434308529,0.07620319724082947,0.6619288389200598,3.740494326830853e-153,0.000999000999000999,0.07090050801634788,0.08155981209129096,0.1149094818872539,0.0,3400,3400
Qwen/Qwen2.5-1.5B,21,mean,0,0.9996214509010315,0.999392032623291,0.00022941827774047852,0.014983004303442732,0.5367910428206983,0.13186813186813187,-0.00041521042585372924,0.0010867118835449219,0.03599975578800931,0.0,3400,3400
Qwen/Qwen2.5-1.5B,21,mean,1,0.07712187618017197,0.0009165374794974923,0.07620533555746078,0.661928448070257,3.7440515532975123e-153,0.000999000999000999,0.07090255320072174,0.08156433366239071,0.1113338083703475,0.0,3400,3400
Qwen/Qwen2.5-1.5B,28,char,0,0.7288400530815125,0.7049266695976257,0.02391338348388672,0.18484410431709178,2.8531499349602076e-14,0.000999000999000999,0.017208489775657653,0.030045691132545467,0.024350540930107262,7.996967571252624e-260,3400,3400
Qwen/Qwen2.5-1.5B,28,char,1,0.07326339930295944,0.0013160404050722718,0.0719473585486412,0.6826869333749516,5.193866875495018e-163,0.000999000999000999,0.06699835006147623,0.07683255262672901,0.11259719665624898,0.0,3400,3400
Qwen/Qwen2.5-1.5B,28,mean,0,0.7288450598716736,0.7049275040626526,0.023917555809020996,0.18488033762153638,2.8209049693474102e-14,0.000999000999000999,0.017207337915897368,0.030051095783710475,0.030545395631825265,0.0,3400,3400
Qwen/Qwen2.5-1.5B,28,mean,1,0.0732632726430893,0.0013160464586690068,0.07194722443819046,0.6826908112137966,5.1738421667372083e-163,0.000999000999000999,0.06699874550104142,0.07683323100209236,0.11282455289059491,0.0,3400,3400
xlm-roberta-base,0,char,0,0.5898879170417786,0.5776262879371643,0.012261629104614258,0.18449706729477625,3.194861162607664e-14,0.000999000999000999,0.009420214593410492,0.01555044651031494,0.04480914422396,0.0,3400,3400
xlm-roberta-base,0,char,1,0.03986978903412819,0.0024065575562417507,0.0374632328748703,0.36634352872112275,1.1209438069530468e-50,0.000999000999000999,0.03321998743340373,0.04245250914245844,0.0758358945364064,0.0,3400,3400
xlm-roberta-base,0,mean,0,0.8425025939941406,0.8375106453895569,0.00499194860458374,0.22233384630781233,6.388585432066829e-20,0.000999000999000999,0.004047560691833496,0.0061243042349815365,0.0485792646281834,0.0,3400,3400
