model,anchor_r1,r1_num,anchor_r2,r2_num,n_trials,top1_target_rate,top10_target_rate,baseline_rate,lift_top10
Qwen/Qwen2.5-1.5B,水,85,火,86,30,0.1,0.17666666666666667,0.021408182683158895,8.252296296296297
Qwen/Qwen2.5-1.5B,水,85,木,75,30,0.2,0.15666666666666668,0.047573739295908656,3.293133333333334
Qwen/Qwen2.5-1.5B,水,85,金,167,30,0.1,0.08,0.03758325404376784,2.128607594936709
Qwen/Qwen2.5-1.5B,水,85,心,61,30,0.06666666666666667,0.1,0.03330161750713606,3.002857142857143
Qwen/Qwen2.5-1.5B,水,85,口,30,30,0.06666666666666667,0.1,0.05629559150015858,1.7763380281690142
Qwen/Qwen2.5-1.5B,水,85,言,149,30,0.03333333333333333,0.12333333333333334,0.03853472882968601,3.200576131687243
Qwen/Qwen2.5-1.5B,水,85,鸟,196,30,0.6333333333333333,0.21,0.010466222645099905,20.064545454545453
Qwen/Qwen2.5-1.5B,水,85,鱼,195,30,0.8333333333333334,0.19666666666666666,0.008721852204249921,22.54872727272727
Qwen/Qwen2.5-1.5B,水,85,山,46,30,0.23333333333333334,0.18,0.012686330478908976,14.1885
Qwen/Qwen2.5-1.5B,水,85,石,112,30,0.0,0.02,0.013320647002854425,1.5014285714285713
Qwen/Qwen2.5-1.5B,水,85,田,102,30,0.0,0.013333333333333334,0.005550269584522677,2.4022857142857146
Qwen/Qwen2.5-1.5B,水,85,目,109,30,0.1,0.1,0.012210593085949888,8.18961038961039
Qwen/Qwen2.5-1.5B,火,86,水,85,30,0.43333333333333335,0.3233333333333333,0.06454170631144941,5.009680589680589
Qwen/Qwen2.5-1.5B,火,86,木,75,30,0.1,0.12333333333333334,0.047573739295908656,2.5924666666666667
Qwen/Qwen2.5-1.5B,火,86,金,167,30,0.23333333333333334,0.12333333333333334,0.03758325404376784,3.281603375527426
Qwen/Qwen2.5-1.5B,火,86,心,61,30,0.03333333333333333,0.04,0.03330161750713606,1.201142857142857
Qwen/Qwen2.5-1.5B,火,86,口,30,30,0.26666666666666666,0.20333333333333334,0.05629559150015858,3.611887323943662
Qwen/Qwen2.5-1.5B,火,86,言,149,30,0.3,0.19,0.03853472882968601,4.9306172839506175
Qwen/Qwen2.5-1.5B,火,86,鸟,196,30,0.8666666666666667,0.15,0.010466222645099905,14.331818181818182
Qwen/Qwen2.5-1.5B,火,86,鱼,195,30,0.7666666666666667,0.28,0.008721852204249921,32.10327272727273
