model,n_pairs,mean_top10_rate,mean_baseline,mean_lift
Qwen/Qwen2.5-1.5B,156,0.16957264957264956,0.02786113347483471,8.747571521383351
xlm-roberta-base,156,0.14797008547008547,0.02786113347483471,8.90224148860018
bert-base-multilingual-cased,156,0.10908119658119657,0.02786113347483471,5.102740404195083
cl-tohoku/bert-base-japanese-char-v3,156,0.245534188034188,0.02786113347483471,9.864577970636656
BAAI/bge-large-zh-v1.5,156,0.384957264957265,0.02786113347483471,20.860415745256613
glyph_only/resnet18,156,0.16993589743589743,0.02786113347483471,8.008920048000418
Qwen/Qwen2.5-3B,156,0.2613675213675214,0.02786113347483471,15.928960129172143
hfl/chinese-macbert-base,156,0.13307692307692306,0.02786113347483471,7.6381120125593185
nghuyong/ernie-3.0-base-zh,156,0.09833333333333334,0.02786113347483471,4.504761941820374
hfl/chinese-bert-wwm-ext,156,0.2764529914529915,0.02786113347483471,18.2168283742037
