model,src_radical,mean_lift_to_others,n_targets
bert-base-multilingual-cased,1,5.5988975335860385,67
bert-base-multilingual-cased,9,1.922236654842814,67
bert-base-multilingual-cased,10,3.5412281554076515,67
bert-base-multilingual-cased,15,5.030991045847916,67
bert-base-multilingual-cased,18,3.7632503776189474,67
bert-base-multilingual-cased,19,4.598146678111442,67
bert-base-multilingual-cased,27,4.0907128924644525,67
bert-base-multilingual-cased,30,3.810575635092835,67
bert-base-multilingual-cased,31,4.946712646760666,67
bert-base-multilingual-cased,32,6.29168637133374,67
bert-base-multilingual-cased,37,3.9923567381658542,67
bert-base-multilingual-cased,38,3.653433831259461,67
bert-base-multilingual-cased,39,6.386465138491049,67
bert-base-multilingual-cased,40,4.4888424227115555,67
bert-base-multilingual-cased,44,3.3401424665300516,67
bert-base-multilingual-cased,46,10.032486992736036,67
bert-base-multilingual-cased,50,8.436160597993311,67
bert-base-multilingual-cased,53,5.058002341983564,67
bert-base-multilingual-cased,57,5.323079919977592,67
bert-base-multilingual-cased,60,6.6481804607502895,67
bert-base-multilingual-cased,61,2.642634882018143,67
bert-base-multilingual-cased,62,4.542981516604267,67
bert-base-multilingual-cased,64,4.281119222358813,67
bert-base-multilingual-cased,66,3.9323071893202903,67
bert-base-multilingual-cased,72,5.65617905631038,67
bert-base-multilingual-cased,75,2.530550377992771,67
bert-base-multilingual-cased,76,5.409523222894547,67
bert-base-multilingual-cased,78,10.293480733984346,67
bert-base-multilingual-cased,85,3.713098206612801,67
bert-base-multilingual-cased,86,4.640414200689817,67
bert-base-multilingual-cased,93,8.790792948058574,67
bert-base-multilingual-cased,94,5.32609264892398,67
bert-base-multilingual-cased,96,6.611703318888675,67
bert-base-multilingual-cased,102,3.46111514063295,67
bert-base-multilingual-cased,104,8.504097835882163,67
bert-base-multilingual-cased,108,4.185485389201455,67
bert-base-multilingual-cased,109,2.3617987432709384,67
bert-base-multilingual-cased,112,5.900089614467908,67
bert-base-multilingual-cased,113,6.482673303551639,67
bert-base-multilingual-cased,115,3.045033514527472,67
bert-base-multilingual-cased,116,6.742832526601309,67
bert-base-multilingual-cased,118,7.508044142540738,67
bert-base-multilingual-cased,119,9.873060440649173,67
bert-base-multilingual-cased,120,1.7314813567980805,67
bert-base-multilingual-cased,124,10.692357215331546,67
bert-base-multilingual-cased,128,4.582636147343603,67
bert-base-multilingual-cased,130,17.480249071246117,67
