model,role,layer,n_chars,n_intra,n_inter,intra_mean,inter_mean,delta,cohens_d,ci_lower,ci_upper,p_perm
xlm-roberta-base,semantic,12,3108,2909,3100,0.036385152488946915,-0.003182661021128297,0.03956781327724457,0.2786118451120262,0.03275126935914159,0.04675343129783868,0.000999000999000999
xlm-roberta-base,unknown,12,3138,1867,2100,0.03452333062887192,0.005192968994379044,0.029330361634492874,0.19285492227526235,0.020337493065744637,0.0384543901309371,0.000999000999000999
xlm-roberta-base,non_identity,12,6246,3400,3400,0.027352401986718178,-0.0028279193211346865,0.030180322006344795,0.20975716252987464,0.023497806442901493,0.03705765577033162,0.000999000999000999
xlm-roberta-base,all,12,6306,3400,3400,0.027633149176836014,0.0002778771740850061,0.027355272322893143,0.19043956211151652,0.02051832191646099,0.03396816393360495,0.000999000999000999
bert-base-multilingual-cased,semantic,12,3108,2909,3100,0.05692522972822189,0.01672571524977684,0.04019951447844505,0.2106953645930738,0.030133165419101715,0.048973174486309286,0.000999000999000999
bert-base-multilingual-cased,unknown,12,3138,1867,2100,0.06762353330850601,0.017634976655244827,0.049988556653261185,0.24368829015116208,0.03641708251088858,0.06245924737304449,0.000999000999000999
bert-base-multilingual-cased,non_identity,12,6246,3400,3400,0.0553518682718277,0.01811322383582592,0.03723864257335663,0.18965766247711457,0.027760867727920413,0.046888268925249575,0.000999000999000999
bert-base-multilingual-cased,all,12,6306,3400,3400,0.057226281613111496,0.01793736033141613,0.039288923144340515,0.20177972363375388,0.029870213847607373,0.049126533977687355,0.000999000999000999
cl-tohoku/bert-base-japanese-char-v3,semantic,12,3108,2909,3100,0.09945660829544067,0.06291873008012772,0.03653787821531296,0.1250844729282046,0.02254479508846998,0.05017375610768794,0.000999000999000999
cl-tohoku/bert-base-japanese-char-v3,unknown,12,3138,1867,2100,0.3275192975997925,0.17455598711967468,0.1529633104801178,0.3397261709152275,0.124854426831007,0.1802624560892582,0.000999000999000999
cl-tohoku/bert-base-japanese-char-v3,non_identity,12,6246,3400,3400,0.12651564180850983,0.12134487181901932,0.005170769989490509,0.014565724806216217,-0.00997116882354021,0.02286404594779014,0.2937062937062937
cl-tohoku/bert-base-japanese-char-v3,all,12,6306,3400,3400,0.12656526267528534,0.10676482319831848,0.019800439476966858,0.057333586769206774,0.003152531199157238,0.036222703754901886,0.008991008991008992
glyph_only/resnet18,semantic,0,3108,2909,3100,0.23029407858848572,0.0034498393069952726,0.22684423625469208,1.346938738877047,0.21825392507016658,0.2352003011852503,0.000999000999000999
glyph_only/resnet18,unknown,0,3138,1867,2100,0.21271666884422302,-0.003492082003504038,0.21620875597000122,1.317273148933028,0.20618327260017394,0.22593544460833073,0.000999000999000999
glyph_only/resnet18,non_identity,0,6246,3400,3400,0.19327713549137115,-0.002507873112335801,0.1957850158214569,1.164034009134589,0.1874923374503851,0.20366265065968037,0.000999000999000999
glyph_only/resnet18,all,0,6306,3400,3400,0.1914653778076172,0.00033965465263463557,0.19112572073936462,1.140507223949053,0.18294775299727917,0.19936723522841931,0.000999000999000999
hfl/chinese-bert-wwm-ext,semantic,12,3108,2909,3100,0.05806158483028412,-0.0015655277529731393,0.05962711200118065,0.4468752827883577,0.05273270774632692,0.06606499645859003,0.000999000999000999
hfl/chinese-bert-wwm-ext,unknown,12,3138,1867,2100,0.06005723774433136,0.004937208257615566,0.05512002855539322,0.41867751864930974,0.04761677039787173,0.06313022579997778,0.000999000999000999
hfl/chinese-bert-wwm-ext,non_identity,12,6246,3400,3400,0.05241786316037178,0.002034962410107255,0.05038290098309517,0.3826057909827968,0.04399947971105576,0.057517182733863595,0.000999000999000999
hfl/chinese-bert-wwm-ext,all,12,6306,3400,3400,0.05248910188674927,0.003504848573356867,0.04898425191640854,0.37542303542324806,0.042892021406441924,0.05541686164215207,0.000999000999000999
