model,predictor,beta,se_naive,se_clustered,t_clustered,p_clustered,ci_lo,ci_hi,design_effect,n_pairs,n_unique_chars,df_resid
Qwen/Qwen2.5-1.5B,same_radical,0.010497880115927644,0.0001766644582719993,0.0002911587803466456,36.055516180652894,1.3110975136253633e-258,0.009927208906448218,0.011068551325407069,1.6480891696866753,200000,6203,6198
Qwen/Qwen2.5-1.5B,ppmi,0.007401168022176952,0.00017173672000147898,0.00024162269761311342,30.631095899888145,5.335544725612034e-192,0.006927587534855249,0.007874748509498654,1.4069367204115264,200000,6203,6198
Qwen/Qwen2.5-1.5B,freq_diff,-0.0013138850171609386,0.00017757962735756079,0.00021711588771682153,-6.051537872136763,1.51853685745523e-09,-0.0017394321570859087,-0.0008883378772359684,1.2226396177735723,200000,6203,6198
Qwen/Qwen2.5-1.5B,stroke_diff,-0.0009309732956812099,0.00017262277200072757,0.00019109853203050538,-4.871692554564454,1.133954506219871e-06,-0.0013055264184610004,-0.0005564201729014193,1.1070296798947241,200000,6203,6198
xlm-roberta-base,same_radical,0.003907384348552245,0.0003125727232465632,0.0003780946361246361,10.334408307406417,7.826929258558756e-25,0.003166318861747958,0.004648449835356532,1.2096213393079343,200000,6203,6198
xlm-roberta-base,ppmi,0.006954656822682194,0.0003038540676339477,0.0003211456768175605,21.65576971672286,2.5941006064311523e-100,0.006325211296119775,0.007584102349244613,1.056907611335465,200000,6203,6198
xlm-roberta-base,freq_diff,5.80327577561165e-05,0.00031419193344935683,0.0003300342985562574,0.17583856590052044,0.8604265148438603,-0.000588834467414148,0.000704899982926381,1.0504225711111521,200000,6203,6198
xlm-roberta-base,stroke_diff,-0.001712254012339092,0.00030542176092694033,0.00032445822238487626,-5.277271137570358,1.3557540503450964e-07,-0.0023481921282134497,-0.0010763158964647345,1.0623284385505511,200000,6203,6198
bert-base-multilingual-cased,same_radical,0.006839480849700852,0.0004480888217886011,0.0006255953415434309,10.932755401961435,1.4332272045974305e-27,0.005613313980275728,0.008065647719125976,1.3961413700218872,200000,6203,6198
bert-base-multilingual-cased,ppmi,-0.001252369755579594,0.0004355901876132967,0.0006613999523803183,-1.893513525473398,0.05833614121037993,-0.0025487136622450177,4.397415108582984e-05,1.5183995672728248,200000,6203,6198
bert-base-multilingual-cased,freq_diff,-8.230751728100396e-05,0.00045041004158174834,0.0007288667678360979,-0.11292532588001414,0.9100934147758607,-0.0015108863822397558,0.0013462713476777477,1.6182293922144058,200000,6203,6198
bert-base-multilingual-cased,stroke_diff,-0.0036643393122386143,0.0004378375553083622,0.0007904290034339604,-4.6358867100260275,3.6269511678701724e-06,-0.005213580158969177,-0.002115098465508052,1.805301975243475,200000,6203,6198
cl-tohoku/bert-base-japanese-char-v3,same_radical,0.010062118380981356,0.0008201559703004837,0.0011662426397841751,8.62780868897355,7.85275448545367e-18,0.007776282807004373,0.01234795395495834,1.4219766508032543,200000,6203,6198
